tab 	pmag_sites																					
er_analyst_mail_names	er_citation_names	er_location_name	er_site_name	er_specimen_names	magic_method_codes	magic_software_packages	pmag_criteria_codes	site_alpha95	site_comp_name	site_dec	site_description	site_inc	site_inferred_age	site_inferred_age_sigma	site_inferred_age_unit	site_k	site_n	site_n_lines	site_n_planes	site_polarity	site_r	site_tilt_correction
	This study	Khukh_Davaa	Z37	Z37.1a:Z37.2a:Z37.3a:Z37.4a:Z37.5a:Z37.6a:Z37.7a:Z37.8a:Z37.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.0	ACCEPT	7.5	MAG	248.1	Site direction included in results table	-42.7	9.98E+02	9.98E+02	Years Cal BP	48	9	9	0		8.8346	100
	This study	Khukh_Davaa	Z38	Z38.10a:Z38.1a:Z38.2a:Z38.3a:Z38.4a:Z38.5a:Z38.6a:Z38.7a:Z38.8a:Z38.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	5	LOW	2.8	Site direction included in results table	64.3	9.98E+02	9.98E+02	Years Cal BP	95	10	10	0		9.9049	0
	This study	Khukh_Davaa	Z38	Z38.10a:Z38.1a:Z38.2a:Z38.3a:Z38.4a:Z38.5a:Z38.6a:Z38.7a:Z38.8a:Z38.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	8	MAG	170.1	Site direction included in results table	-68.5	9.98E+02	9.98E+02	Years Cal BP	37	10	10	0		9.7572	0
	This study	Khukh_Davaa	Z38	Z38.10a:Z38.1a:Z38.2a:Z38.3a:Z38.4a:Z38.5a:Z38.6a:Z38.7a:Z38.8a:Z38.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.0	ACCEPT	5	LOW	54.5	Site direction included in results table	36.5	9.98E+02	9.98E+02	Years Cal BP	95	10	10	0		9.9054	100
	This study	Khukh_Davaa	Z38	Z38.10a:Z38.1a:Z38.2a:Z38.3a:Z38.4a:Z38.5a:Z38.6a:Z38.7a:Z38.8a:Z38.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.0	ACCEPT	8	MAG	237.4	Site direction included in results table	-42.7	9.98E+02	9.98E+02	Years Cal BP	37	10	10	0		9.7579	100
	This study	Khukh_Davaa	Z39	Z39.1a:Z39.2a:Z39.3a:Z39.4a:Z39.5a:Z39.6a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	12	LOW	359.6	Site direction included in results table	58.7	9.98E+02	9.98E+02	Years Cal BP	32	6	6	0		5.8444	0
	This study	Khukh_Davaa	Z39	Z39.1a:Z39.2a:Z39.3a:Z39.4a:Z39.5a:Z39.6a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	6.4	MAG	196.1	Site direction included in results table	-56	9.98E+02	9.98E+02	Years Cal BP	112	6	6	0		5.9553	0
	This study	Khukh_Davaa	Z39	Z39.2a:Z39.3a:Z39.4a:Z39.5a:Z39.6a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	8.7	HEM	196.3	Site direction included in results table	-15.6	9.98E+02	9.98E+02	Years Cal BP	79	5	5	0		4.9493	0
	This study	Khukh_Davaa	Z39	Z39.1a:Z39.2a:Z39.3a:Z39.4a:Z39.5a:Z39.6a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.0	ACCEPT	12	LOW	47.6	Site direction included in results table	35.2	9.98E+02	9.98E+02	Years Cal BP	32	6	6	0		5.8445	100
	This study	Khukh_Davaa	Z39	Z39.1a:Z39.2a:Z39.3a:Z39.4a:Z39.5a:Z39.6a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.0	ACCEPT	6.4	MAG	230.9	Site direction included in results table	-26.4	9.98E+02	9.98E+02	Years Cal BP	112	6	6	0		5.9553	100
	This study	Khukh_Davaa	Z39	Z39.2a:Z39.3a:Z39.4a:Z39.5a:Z39.6a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.0	ACCEPT	8.7	HEM	201.5	Site direction included in results table	2.4	9.98E+02	9.98E+02	Years Cal BP	79	5	5	0		4.9494	100
